1.36	آمد	آمد	âmad
1.36	کیومرث	fail	noxlit
1.36	را	را	râ
1.36	روزگار	روزگار	rûzgâr
1.37	برفت	fail	noxlit
1.37	و	و	û
1.37	جهان	جهان	ǧihân
1.37	مر	مر	mar
1.37	دری	دری	darî
1.37	ماند	ماند	mând
1.37	از	از	az
1.37	اوی	اوی	ûy
1.38	نگر	نگر	nigar
1.38	تا	تا	tâ
1.38	که	که	kih
1.38	را	را	râ
1.38	نزد	نزد	nazd
1.38	او	او	û
1.38	آبروی-	آبروی	noxlit
1.39	جهان	جهان	ǧihân
1.39	فریبنده	fail	noxlit
1.39	را	را	râ
1.39	گرد	گرد	gard:gird:gurd
1.39	کرد	کرد	kard
1.40	ره	ره	rah
1.40	سود	سود	sûd
1.40	بنمود	fail	noxlit
1.40	و	و	û
1.40	مایه	مایه	mâyah
1.40	نخورد	fail	noxlit
1.41	جهان	جهان	ǧihân
1.41	سربسر	fail	noxlit
1.41	چون	چون	čûn
1.41	فسانه-ست	fail	noxlit
1.41	و	و	û
1.41	بس	بس	bas
1.42	نماند	fail	noxlit
1.42	بد	بد	bad.:bud
1.42	و	و	û
1.42	نیک	fail	noxlit
1.42	بر	بر	bar:bur
1.42	هیچ	هیچ	hîč
1.42	کس	کس	kas
1.43	جهاندار	جهاندار	noxlit
1.43	هوشنگ	هوشنگ	hûšang
1.43	با	با	bâ
1.43	رای	رای	rây
1.43	و	و	û
1.43	داد	داد	dâd
1.44	به	به	bih
1.44	جای	جای	ǧây
1.44	نیا	نیا	niyâ
1.44	تاج	تاج	tâǧ
1.44	بر	بر	bar:bur
1.44	سر	سر	sar
1.44	نهاد	نهاد	nihâd
1.45	بگشت	fail	noxlit
1.45	از	از	az
1.45	برش	fail	noxlit
1.45	چرخ	چرخ	čarḫ
1.45	سالی	سالی	sâlî
1.45	چهل	چهل	čihil
1.46	پر	پر	par:pur
1.46	از	از	az
1.46	هوش	هوش	hûš
1.46	مغز	مغز	maġz
1.46	و	و	û
1.46	پر	پر	par:pur
1.46	از	از	az
1.46	رای	رای	rây
1.46	دل	دل	dil
1.47	چو	چو	čû
1.47	بنشست	fail	noxlit
1.47	بر	بر	bar:bur
1.47	جایگاه	جایگاه	ǧây-gâh
1.47	مهی	مهی	mihî
1.48	چنین	چنین	čun-în
1.48	گفت	گفت	guft
1.48	بر	بر	bar:bur
1.48	تخت	تخت	taḫt
1.48	شاهنشهی	fail	noxlit
1.49	که	که	kih
1.49	بر	بر	bar:bur
1.49	هفت	هفت	haft
1.49	کشور	کشور	kišvar
1.49	منم	fail	noxlit
1.49	پادشا	پادشا	pâdišâ
1.50	به	به	bih
1.50	هر	هر	har
1.50	جای	جای	ǧây
1.50	پیروز	پیروز	pîrûz
1.50	و	و	û
1.50	فرمانروا	فرمانروا	noxlit
1.51	به	به	bih
1.51	فرمان	فرمان	farmân
1.51	یزدان	یزدان	yazdân
1.51	پیروزگر	پیروزگر	pîrûz-gar
1.52	بداد	fail	noxlit
1.52	و	و	û
1.52	دهش	دهش	dihiš
1.52	تنگ	تنگ	tang
